School, Grades, Address, City, Prov, PostalCode, Phone
A Y Jackson Secondary School, (Grades 09–12),50 Francine Dr, North York, ON, M2H2G6,(416) 395-3140
Agincourt Collegiate Institute, (Grades 09–12),2621 Midland Ave, Scarborough, ON, M1S1R6,(416) 396-6675
Albert Campbell Collegiate Institute, (Grades 09–12),1550 Sandhurst Cir, Scarborough, ON, M1V1S6,(416) 396-6684
ALPHA II Alternative School, (Grades 07–12),1141 Bloor St W, Toronto, ON, M6H1M9,(416) 393-0501
Alternative Scarborough Education 1, (Grades 11–12),60 Brimorton Dr, Scarborough, ON, M1P3Z1,(416) 396-6914
Avondale Secondary Alternative School, (Grades 09–12),24 Silverview Drive, North York, ON, M2M2B3,(416) 395-4542
Birchmount Park Collegiate Institute, (Grades 09–12),3663 Danforth Ave, Scarborough, ON, M1N2G2,(416) 396-6704
Bloor Collegiate Institute, (Grades 09–12),1141 Bloor St W, Toronto, ON, M6H1M9,(416) 393-1420
Burnhamthorpe Collegiate Institute, (Grades 09–12),500 The East Mall, Etobicoke, ON, M9B2C4,(416) 394-7130
C W Jefferys Collegiate Institute, (Grades 09–12),340 Sentinel Rd, North York, ON, M3J1T9,(416) 395-3170
CALC Secondary School, (Grades 12–12),1 Danforth Ave, Toronto, ON, M4K1M8,(416) 393-9740
Cedarbrae Collegiate Institute, (Grades 09–12),550 Markham Rd, Scarborough, ON, M1H2A2,(416) 396-4400
Central Etobicoke High School, (Grades 09–12),10 Denfield St, Etobicoke, ON, M9R3H1,(416) 394-7090
Central Technical School, (Grades 09–12),725 Bathurst St, Toronto, ON, M5S2R5,(416) 393-0060
Central Toronto Academy, (Grades 09–12),570 Shaw St, Toronto, ON, M6G3L6,(416) 393-0030
City School, (Grades 09–12),635 Queens Quay W, Toronto, ON, M5V3G3,(416) 393-1470
Contact Alternative School, (Grades 10–12),132 Saint Patrick St, Toronto, ON, M5T1V1,(416) 393-1455
Danforth Collegiate and Technical Institute, (Grades 09–12),800 Greenwood Ave, Toronto, ON, M4J4B7,(416) 393-0620
David and Mary Thomson Collegiate Institute, (Grades 09–12),125 Brockley Drive, Scarborough, ON, M1P0E1,(416) 396-5525
Delphi Secondary Alternative School, (Grades 09–12),109A Chartland Blvd S, Scarborough, ON, M1S2R7,(416) 396-6919
